,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,lot1_numero,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,surface_terrain,longitude,latitude
1841554,2020-778735,2020-06-08,1,Vente,278000.0,22.0,RUE DANIELLE CASANOVA,0360,77290.0,77294,Mitry-Mory,77,77294000AN0018,3.0,1,1.0,Maison,80.0,3.0,S,sols,273.0,2.629175,48.973953
2145042,2020-911255,2020-05-22,1,Vente,50000.0,65.0,RUE DU DAVAL,0110,88310.0,88116,Cornimont,88,88116000AB0142,102,1,2.0,Appartement,70.0,3.0,S,sols,3.0,6.827846,47.960761
654062,2020-267013,2020-08-20,1,Vente,313900.0,9012.0,HAM DE BREDERA,A037,33480.0,33022,Avensan,33,330220000D0515,12.0,1,1.0,Maison,89.0,4.0,AB,terrains a bâtir,4845.0,-0.778169,44.957809
1476343,2020-619907,2020-06-09,1,Vente,194000.0,5.0,RUE GRANDE RUE,0115,60460.0,60074,Blaincourt-lès-Précy,60,60074000AD0554,3.0,1,2.0,Appartement,85.0,3.0,S,sols,72.0,2.356802,49.222071
743323,2020-306175,2020-02-17,1,Vente,290900.0,5005.0,LE VILLAGE,B058,34160.0,34256,Saint-Geniès-des-Mourgues,34,34256000AP0137,5.0,1,1.0,Maison,91.0,4.0,S,sols,817.0,4.031855,43.69728
1280918,2020-529645,2020-11-02,1,Vente,468000.0,3.0,LA GOUVENIERE,B091,53420.0,53048,Chailland,53,53048000BC0242,1.0,1,1.0,Maison,78.0,4.0,S,sols,1515.0,-0.897892,48.217087
1653719,2020-697917,2020-02-18,1,Vente,137500.0,10.0,RUE DE LA GRAVIERE,0050,69480.0,69009,Anse,69,69009000AK0124,6,1,2.0,Appartement,50.0,2.0,S,sols,63.0,4.722548,45.93693
645114,2020-262589,2020-01-09,1,Vente,206400.0,50.0,RUE DES LIEGES,5535,33200.0,33063,Bordeaux,33,33063000YV0042,2.0,1,1.0,Maison,48.0,3.0,S,sols,124.0,-0.628464,44.847698
1813500,2020-766790,2020-09-30,1,Vente,192000.0,30.0,RUE DES GRISARDES,0965,77140.0,77431,Saint-Pierre-lès-Nemours,77,77431000BA0043,55.0,1,1.0,Maison,106.0,6.0,S,sols,326.0,2.669475,48.276016
2187637,2020-928475,2020-10-15,1,Vente,227000.0,21.0,RUE DU PRINTEMPS,1550,91560.0,91191,Crosne,91,91191000AK0081,9.0,1,1.0,Maison,47.0,2.0,S,sols,57.0,2.451203,48.71898
1808864,2020-764729,2020-08-28,1,Vente,155000.0,47.0,LA MUSSINE,B073,77820.0,77100,Le Châtelet-en-Brie,77,771000000G0654,47.0,1,1.0,Maison,44.0,1.0,S,sols,306.0,2.783736,48.494788
227616,2020-96439,2020-06-18,1,Vente,215000.0,147.0,RES DAUPHINE RUE LECHATE,A307,13015.0,13215,Marseille 15e Arrondissement,13,132159020A0225,52,1,1.0,Maison,80.0,5.0,J,jardins,214.0,5.373093,43.351281
751315,2020-310273,2020-09-01,1,Vente,159800.0,432.0,BD DIDEROT,0230,34400.0,34145,Lunel,34,34145000AZ0133,4.0,1,2.0,Appartement,65.0,3.0,J,jardins,70.0,4.135116,43.671036
1887180,2020-800425,2020-04-29,1,Vente,288000.0,32.0,BD DE L EUROPE,0185,78540.0,78643,Vernouillet,78,78643000AE0166,5.0,1,1.0,Maison,43.0,2.0,AG,terrains d'agrément,569.0,1.98659,48.97133
1572180,2020-659191,2020-01-08,1,Vente,195000.0,18.0,RUE MICHEL HOUNAU,2910,64000.0,64445,Pau,64,64445000CR0192,1.0,1,2.0,Appartement,83.0,4.0,S,sols,242.0,-0.363249,43.302409
486220,2020-194590,2020-02-13,1,Vente,15000.0,29.0,RUE DES CITES CHAMPART,0470,25110.0,25047,Baume-les-Dames,25,25047000AN0251,44.0,1,2.0,Appartement,46.0,2.0,J,jardins,279.0,6.363504,47.341553
